ID,CHILD_DRIV,AGE,CHILDREN,YOJ,INCOME,HOUSE_VAL,STATUS,GENDER,EDU_LEVEL,JOB,DISTANCE,CAR_USE,VEHICLE_VAL,VEHICLE_TYPE,CLM_FREQ,REVOKED,MVR_PTS,CLAIM_AMOUNT,VEHICLE_AGE,CLAIM_IND,AREA,STATE_CODE
6921625014,0,67,0,14,"$53,841","$359,229",z_No,Mal,Bachelors,None,71,Private,"$21,970",Family,0,No,2,$294,12,0,Highly Urban/ Urban,Berlin
1227899219,0,26,1,13,"$16,999","$265,527",NA,Fem,z_High School,Clerical,50,Private,"$4,010",unknown,4,No,7,$292,12,0,Highly Urban/ Urban,Thueringen
1950523925,0,71,0,17,,"$323,918",Yes,Mal,<High School,Teacher,77,Private,"$15,440",Minivan,0,No,0,$387,8,0,Highly Urban/ Urban,Bayern
1743448001,0,68,0,,"$115,546","$361,705",Yes,Fem,PhD,Doctor,81,Private,"$18,000",unknown,4,Yes,3,$308,19,0,Highly Urban/ Urban,Bayern
7371333285,0,32,1,15,"$125,861","$70,668",z_No,Fem,Bachelors,Teacher,91,Commercial,"$17,430",Sports Car,0,No,0,"$3,221",9,1,Highly Urban/ Urban,Bayern
4792605900,0,60,0,,"$19,715",,Yes,Fem,<High School,Teacher,78,Private,"$8,780",unknown,0,No,0,$308,3,0,Highly Urban/ Urban,Bayern
7008254552,1,49,1,14,"$51,375","$530,010",NA,Mal,z_High School,None,66,Private,"$18,930",Minivan,3,No,2,"$6,658",3,1,Highly Urban/ Urban,Bayern
6003885605,0,68,2,15,"$44,446","$111,891",z_No,Fem,<High School,Teacher,75,Commercial,"$5,900",unknown,0,No,2,$203,12,0,z_Highly Rural/ Rural,Bayern
4892513439,1,58,2,,"$108,921","$480,905",Yes,Mal,Bachelors,Teacher,89,Commercial,"$16,970",Van,1,Yes,10,"$4,312",9,1,Highly Urban/ Urban,Bayern
3577687613,0,23,0,13,"$64,338","$300,339",z_No,Fem,Bachelors,Clerical,79,Private,"$11,200",unknown,0,No,4,"$2,734",3,1,Highly Urban/ Urban,Berlin
3857190601,0,71,0,10,"$107,512","$329,784",z_No,Mal,Bachelors,Banking,93,Commercial,"$18,510",Van,0,No,3,$331,19,0,z_Highly Rural/ Rural,Bayern
5308762039,0,62,0,17,"$78,060","$106,002",z_No,Fem,Masters,Nurse,60,Private,"$18,300",Sports Car,0,No,0,"$6,457",13,1,Highly Urban/ Urban,Thueringen
7990138122,0,50,0,8,"$53,202","$315,972",Yes,Fem,Masters,Banking,81,Private,"$22,420",Minivan,0,No,0,$351,3,0,z_Highly Rural/ Rural,Nordrhein-Westfalen
6876791088,0,67,0,14,"$60,122","$386,347",Yes,Mal,Bachelors,Manager,70,Commercial,"$17,600",Family,4,Yes,5,$321,11,0,Highly Urban/ Urban,Nordrhein-Westfalen
1665892909,0,49,0,14,"$131,355","$594,789",z_No,Mal,PhD,,109,Commercial,"$28,340",Panel Truck,0,No,5,"$1,586",12,1,Highly Urban/ Urban,Berlin
7214001584,0,49,2,,"$22,164","$182,559",z_No,Mal,z_High School,Clerical,119,Private,"$9,230",Pickup,2,Yes,2,$320,6,0,z_Highly Rural/ Rural,Bayern
6089195886,0,55,0,3,$960,"$371,864",Yes,Fem,<High School,Home Maker,93,Private,"$6,000",unknown,2,No,5,"$3,135",7,1,Highly Urban/ Urban,Bayern
4640321940,0,34,3,15,"$52,444","$410,622",z_No,Fem,Bachelors,Clerical,88,Private,"$10,590",unknown,0,No,2,$201,15,0,z_Highly Rural/ Rural,Bayern
1.01625E10,0,68,0,15,"$88,020","$64,779",z_No,Mal,z_High School,Manager,90,Private,"$15,420",Minivan,2,No,6,"$4,434",3,1,Highly Urban/ Urban,Bayern
2384816008,0,63,0,14,"$60,905","$315,876",Yes,Mal,Masters,Nurse,87,Private,"$14,190",Family,0,No,0,$275,18,0,Highly Urban/ Urban,Bayern
2128011043,0,39,3,16,"$34,579","$138,987",Yes,Fem,Masters,None,72,Private,"$8,300",unknown,0,No,2,$329,22,0,Highly Urban/ Urban,Sachsen-Anhalt
616676300,0,51,2,15,"$20,663","$241,022",Yes,Fem,<High School,Clerical,93,Private,"$17,330",Minivan,2,No,0,$243,9,0,Highly Urban/ Urban,Bayern
7735668456,0,27,1,16,"$45,037","$724,164",Yes,Fem,z_High School,Teacher,74,Commercial,"$8,710",unknown,4,No,2,"$7,206",3,1,Highly Urban/ Urban,Mecklenburg-Vorpomme
1528342092,0,52,0,16,"$38,174",,Yes,Mal,<High School,Teacher,97,Commercial,"$26,560",Panel Truck,0,No,5,"$3,986",3,1,Highly Urban/ Urban,Bayern
5652879254,0,42,0,17,"$96,834","$365,350",Yes,Fem,Masters,Nurse,81,Private,"$11,130",unknown,1,No,7,$290,16,0,Highly Urban/ Urban,Bayern
5411180449,0,45,0,14,"$47,241","$23,556",z_No,Fem,<High School,Teacher,74,Private,"$19,700",Racing,0,No,1,$295,7,0,Highly Urban/ Urban,Bayern
6254670480,2,50,2,3,$560,"$512,241",Yes,Fem,z_High School,Home Maker,53,Private,"$5,900",unknown,5,No,0,$327,13,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
5569472895,0,61,0,17,,"$231,075",Yes,Mal,Bachelors,Professional,52,Commercial,"$25,660",Racing,3,No,4,$210,14,0,Highly Urban/ Urban,Hessen
701627954,0,69,0,15,"$38,900","$206,295",Yes,Fem,z_High School,Teacher,61,Commercial,"$11,290",Sports Car,0,No,2,"$5,647",3,1,Highly Urban/ Urban,Bayern
1574052842,0,52,1,16,"$80,566","$414,410",Yes,Fem,Bachelors,Professional,72,Private,"$16,830",unknown,2,No,2,$351,17,0,z_Highly Rural/ Rural,Bayern
8983362216,0,32,1,12,"$32,235","$359,609",Yes,Fem,z_High School,Clerical,71,Private,"$10,030",unknown,2,No,4,"$4,907",3,1,Highly Urban/ Urban,Thueringen
6647298496,1,39,2,20,"$46,048","$684,609",Yes,Mal,Bachelors,Manager,61,Private,"$22,090",Minivan,0,No,2,$342,14,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
1242736337,0,47,0,11,"$73,153","$247,338",z_No,Fem,Bachelors,Clerical,71,Private,"$12,220",unknown,2,No,3,$276,14,0,Highly Urban/ Urban,Sachsen
6415824924,0,43,2,3,,"$882,014",Yes,Fem,Masters,Home Maker,60,Private,"$14,130",unknown,2,Yes,4,$377,14,0,z_Highly Rural/ Rural,Thueringen
2257087559,0,85,0,15,"$34,172","$623,663",Yes,Mal,<High School,Teacher,72,Commercial,"$24,000",Panel Truck,2,No,7,"$5,212",,1,Highly Urban/ Urban,Bayern
3066966070,0,47,0,8,"$49,804","$340,114",Yes,Mal,Bachelors,Clerical,75,Private,"$15,880",Minivan,2,No,3,$292,3,0,Highly Urban/ Urban,Brandenburg
295116385,2,51,2,15,"$131,500","$438,419",z_No,Fem,Bachelors,Teacher,50,Commercial,"$27,200",Minivan,0,No,0,$329,11,0,z_Highly Rural/ Rural,Hessen
4187096359,0,50,0,11,"$52,238","$359,898",Yes,Fem,Bachelors,Professional,82,Private,"$1,500",unknown,0,No,3,$267,12,0,Highly Urban/ Urban,Bayern
